assetId,route,pageId,slot,family,status,publicUseAllowed,note
NSA-e0ff56aa-3892,/services/supply-chain-procurement-operations/procurement-outsourcing,SRV-011-1,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-199fde65-3772,/services/supply-chain-procurement-operations/supplier-onboarding,SRV-011-2,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-2931cf9d-10871,/services/supply-chain-procurement-operations/purchase-order-management,SRV-011-3,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-a7bed11d-10875,/services/business-transformation-strategy,SRV-015,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-2dd0ba99-10433,/services/business-transformation-strategy/digital-transformation-strategy,SRV-015-1,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-b1b1b376-10437,/services/business-transformation-strategy/business-operating-model,SRV-015-2,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-7c6e65ed-10787,/services/business-transformation-strategy/business-process-mapping,SRV-015-3,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-489cb73c-10791,/solutions/ai-and-automation-for-growing-businesses,SOL-001,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-8fd8bfe3-9864,/solutions/ai-and-automation-transformation-and-managed-delivery,SOL-002,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-67ba37e2-9864,/solutions/custom-software-for-growing-businesses,SOL-003,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-23b85180-4651,/solutions/custom-software-transformation-and-managed-delivery,SOL-004,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-bbdb004d-4269,/solutions/pos-retail-and-inventory-for-growing-businesses,SOL-011,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-6cb025a4-6246,/solutions/pos-retail-and-inventory-transformation-and-managed-delivery,SOL-012,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-974ed793-3892,/solutions/supply-chain-and-procurement-for-growing-businesses,SOL-021,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-02820bc9-3772,/solutions/supply-chain-and-procurement-transformation-and-managed-delivery,SOL-022,client-logo-placeholder,ai-agency,replace-before-launch,False,Must be replaced with verified real evidence before launch.
NSA-ffa828b5-1950,/solutions/business-transformation-and-strategy-for-growing-businesses,SOL-029,component-icon,ai-agency,production-candidate,True,
NSA-b4ad473b-7244,/solutions/business-transformation-and-strategy-transformation-and-managed-delivery,SOL-030,component-icon,ai-agency,production-candidate,True,
NSA-aa65c413-7433,/industries/retail,IND-001,component-icon,ai-agency,production-candidate,True,
NSA-aee2a89a-7257,/industries/media-and-entertainment,IND-014,component-icon,ai-agency,production-candidate,True,
NSA-6e8e8701-2369,/products/daily-fitness,PRD-003,component-icon,ai-agency,production-candidate,True,
NSA-56383c3e-3277,/insights/ai-and-automation,INSH-01,component-icon,ai-agency,production-candidate,True,
NSA-7030de82-3207,/insights/custom-software,INSH-02,component-icon,ai-agency,production-candidate,True,
NSA-c271d8d7-3217,/insights/pos-retail-and-inventory,INSH-06,component-icon,ai-agency,production-candidate,True,
NSA-43ab6ef8-6785,/insights/supply-chain-and-procurement,INSH-11,component-icon,ai-agency,production-candidate,True,
NSA-f42d6e2d-528,/insights/business-transformation-and-strategy,INSH-15,component-icon,ai-agency,production-candidate,True,
NSA-1b1f98ee-1128,/ai-workflow-automation-a-practical-guide-for-operations-leaders,INS-0001,component-icon,ai-agency,production-candidate,True,
NSA-a95eb892-877,/how-to-implement-ai-workflow-automation-without-disrupting-operations,INS-0002,component-icon,ai-agency,production-candidate,True,
NSA-ebc11715-348,/ai-workflow-automation-implementation-checklist-people-process-technology-and-controls,INS-0003,component-icon,ai-agency,production-candidate,True,
NSA-310fc642-1519,/10-ai-workflow-automation-mistakes-that-increase-cost-risk-and-rework,INS-0004,component-icon,ai-agency,production-candidate,True,
NSA-494b00b9-1098,/how-to-measure-the-roi-of-ai-workflow-automation,INS-0005,component-icon,ai-agency,production-candidate,True,
NSA-80a23211-1204,/ai-workflow-automation-in-house-team-vs-managed-service,INS-0006,component-icon,ai-agency,production-candidate,True,
NSA-4af48e6e-1216,/ai-workflow-automation-roadmap-from-assessment-to-continuous-improvement,INS-0007,component-icon,ai-agency,production-candidate,True,
NSA-e5798199-4860,/ai-workflow-automation-use-cases-for-retail-services-and-software-businesses,INS-0008,component-icon,ai-agency,production-candidate,True,
NSA-912b2f3b-5083,/where-ai-and-automation-fit-into-ai-workflow-automation,INS-0009,component-icon,ai-agency,production-candidate,True,
NSA-ecb519c5-4862,/when-should-a-business-invest-in-ai-workflow-automation,INS-0010,component-icon,ai-agency,production-candidate,True,
NSA-6df78624-923,/business-process-automation-a-practical-guide-for-operations-leaders,INS-0011,component-icon,ai-agency,production-candidate,True,
NSA-d5b4968b-3769,/how-to-implement-business-process-automation-without-disrupting-operations,INS-0012,component-icon,ai-agency,production-candidate,True,
NSA-11184f85-3870,/business-process-automation-implementation-checklist-people-process-technology-and-controls,INS-0013,component-icon,ai-agency,production-candidate,True,
NSA-eb79eb2c-3770,/10-business-process-automation-mistakes-that-increase-cost-risk-and-rework,INS-0014,component-icon,ai-agency,production-candidate,True,
NSA-c63d1ab2-1082,/how-to-measure-the-roi-of-business-process-automation,INS-0015,component-icon,ai-agency,production-candidate,True,
NSA-48dd948a-1556,/business-process-automation-in-house-team-vs-managed-service,INS-0016,component-icon,ai-agency,production-candidate,True,
NSA-1e7f35bb-930,/business-process-automation-roadmap-from-assessment-to-continuous-improvement,INS-0017,component-icon,ai-agency,production-candidate,True,
NSA-194215d5-361,/business-process-automation-use-cases-for-retail-services-and-software-businesses,INS-0018,component-icon,ai-agency,production-candidate,True,
NSA-42673a06-2167,/where-ai-and-automation-fit-into-business-process-automation,INS-0019,component-icon,ai-agency,production-candidate,True,
NSA-576ca9aa-3515,/when-should-a-business-invest-in-business-process-automation,INS-0020,component-icon,ai-agency,production-candidate,True,
NSA-87facf81-3453,/document-processing-automation-a-practical-guide-for-operations-leaders,INS-0021,component-icon,ai-agency,production-candidate,True,
NSA-383c8454-3455,/how-to-implement-document-processing-automation-without-disrupting-operations,INS-0022,component-icon,ai-agency,production-candidate,True,
NSA-1f96c838-6380,/document-processing-automation-implementation-checklist-people-process-technology-and-controls,INS-0023,component-icon,ai-agency,production-candidate,True,
NSA-c3d02d9b-1346,/10-document-processing-automation-mistakes-that-increase-cost-risk-and-rework,INS-0024,component-icon,ai-agency,production-candidate,True,
NSA-5ee29958-4693,/how-to-measure-the-roi-of-document-processing-automation,INS-0025,component-icon,ai-agency,production-candidate,True,
NSA-496266ec-4875,/document-processing-automation-in-house-team-vs-managed-service,INS-0026,component-icon,ai-agency,production-candidate,True,
NSA-dc5b13b9-4706,/document-processing-automation-roadmap-from-assessment-to-continuous-improvement,INS-0027,component-icon,ai-agency,production-candidate,True,
NSA-163adc2b-1698,/document-processing-automation-use-cases-for-retail-services-and-software-businesses,INS-0028,component-icon,ai-agency,production-candidate,True,
NSA-d50bfe1b-11746,/where-ai-and-automation-fit-into-document-processing-automation,INS-0029,component-icon,ai-agency,production-candidate,True,
NSA-e0f64780-6452,/when-should-a-business-invest-in-document-processing-automation,INS-0030,component-icon,ai-agency,production-candidate,True,
NSA-4dab41f0-6508,/customer-service-automation-a-practical-guide-for-operations-leaders,INS-0031,component-icon,ai-agency,production-candidate,True,
NSA-952cff17-6472,/how-to-implement-customer-service-automation-without-disrupting-operations,INS-0032,component-icon,ai-agency,production-candidate,True,
NSA-421c5ecd-11977,/customer-service-automation-implementation-checklist-people-process-technology-and-controls,INS-0033,component-icon,ai-agency,production-candidate,True,
NSA-a50002a7-12075,/10-customer-service-automation-mistakes-that-increase-cost-risk-and-rework,INS-0034,component-icon,ai-agency,production-candidate,True,
NSA-f6a6c2d6-11981,/how-to-measure-the-roi-of-customer-service-automation,INS-0035,component-icon,ai-agency,production-candidate,True,
NSA-c2fceb5d-3403,/customer-service-automation-in-house-team-vs-managed-service,INS-0036,component-icon,ai-agency,production-candidate,True,
NSA-353e3c3d-3681,/customer-service-automation-roadmap-from-assessment-to-continuous-improvement,INS-0037,component-icon,ai-agency,production-candidate,True,
NSA-f612863d-3419,/customer-service-automation-use-cases-for-retail-services-and-software-businesses,INS-0038,component-icon,ai-agency,production-candidate,True,
NSA-8eb9b977-2540,/where-ai-and-automation-fit-into-customer-service-automation,INS-0039,component-icon,ai-agency,production-candidate,True,
NSA-bd29c12c-2538,/when-should-a-business-invest-in-customer-service-automation,INS-0040,component-icon,ai-agency,production-candidate,True,
NSA-c9648a55-820,/sales-automation-a-practical-guide-for-operations-leaders,INS-0041,component-icon,ai-agency,production-candidate,True,
NSA-f61c5576-4892,/how-to-implement-sales-automation-without-disrupting-operations,INS-0042,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-2a665110-368531,/sales-automation-implementation-checklist-people-process-technology-and-controls,INS-0043,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-fa84313b-284524,/10-sales-automation-mistakes-that-increase-cost-risk-and-rework,INS-0044,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-3e17a994-297962,/how-to-measure-the-roi-of-sales-automation,INS-0045,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-59e9820a-287348,/sales-automation-in-house-team-vs-managed-service,INS-0046,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-daf1ff95-312901,/sales-automation-roadmap-from-assessment-to-continuous-improvement,INS-0047,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-6540bbc1-291876,/sales-automation-use-cases-for-retail-services-and-software-businesses,INS-0048,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-5dabefab-24992,/where-ai-and-automation-fit-into-sales-automation,INS-0049,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-47a60f43-25723,/when-should-a-business-invest-in-sales-automation,INS-0050,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-6971f295-22474,/finance-automation-a-practical-guide-for-operations-leaders,INS-0051,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-292d968a-17073,/how-to-implement-finance-automation-without-disrupting-operations,INS-0052,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-edda4320-300172,/finance-automation-implementation-checklist-people-process-technology-and-controls,INS-0053,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-b06c05c5-947006,/10-finance-automation-mistakes-that-increase-cost-risk-and-rework,INS-0054,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-cd76695e-2034537,/how-to-measure-the-roi-of-finance-automation,INS-0055,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-272909a8-2101747,/finance-automation-in-house-team-vs-managed-service,INS-0056,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-1c4b8e19-1397103,/finance-automation-roadmap-from-assessment-to-continuous-improvement,INS-0057,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-1a327ec1-280022,/finance-automation-use-cases-for-retail-services-and-software-businesses,INS-0058,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-7498a9ca-345560,/where-ai-and-automation-fit-into-finance-automation,INS-0059,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-37fb830e-317544,/when-should-a-business-invest-in-finance-automation,INS-0060,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-ffc60d59-273171,/inventory-automation-a-practical-guide-for-operations-leaders,INS-0061,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-192688ea-184339,/how-to-implement-inventory-automation-without-disrupting-operations,INS-0062,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-58e06f13-271269,/inventory-automation-implementation-checklist-people-process-technology-and-controls,INS-0063,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-595e54c2-218227,/10-inventory-automation-mistakes-that-increase-cost-risk-and-rework,INS-0064,editorial-avatar,ai-agency,editorial-placeholder-only,False,Must be replaced with verified real evidence before launch.
NSA-63c8b991-12070,/how-to-measure-the-roi-of-inventory-automation,INS-0065,hero-media,ai-agency,production-candidate,True,
NSA-7a568d48-130382,/inventory-automation-in-house-team-vs-managed-service,INS-0066,hero-media,ai-agency,production-candidate,True,
NSA-2a446a4c-24089,/inventory-automation-roadmap-from-assessment-to-continuous-improvement,INS-0067,hero-media,ai-agency,production-candidate,True,
NSA-8695f699-11294,/inventory-automation-use-cases-for-retail-services-and-software-businesses,INS-0068,hero-media,ai-agency,production-candidate,True,
NSA-1ab651e4-197191,/where-ai-and-automation-fit-into-inventory-automation,INS-0069,hero-media,ai-agency,production-candidate,True,
NSA-db783e21-73505,/when-should-a-business-invest-in-inventory-automation,INS-0070,hero-media,ai-agency,production-candidate,True,
NSA-00c56e96-152469,/ai-governance-a-practical-guide-for-operations-leaders,INS-0071,hero-media,ai-agency,production-candidate,True,
NSA-d903b386-166734,/how-to-implement-ai-governance-without-disrupting-operations,INS-0072,hero-media,ai-agency,production-candidate,True,
NSA-999efef4-3433879,/ai-governance-implementation-checklist-people-process-technology-and-controls,INS-0073,hero-media,ai-agency,production-candidate,True,
NSA-ba649586-605154,/10-ai-governance-mistakes-that-increase-cost-risk-and-rework,INS-0074,hero-media,ai-agency,production-candidate,True,
NSA-fbd9d33b-6677,/how-to-measure-the-roi-of-ai-governance,INS-0075,icon-illustration,ai-agency,production-candidate,True,
NSA-292d27ec-30718,/ai-governance-in-house-team-vs-managed-service,INS-0076,hero-media,ai-agency,production-candidate,True,
NSA-0c4e470c-83096,/ai-governance-roadmap-from-assessment-to-continuous-improvement,INS-0077,hero-media,ai-agency,production-candidate,True,
NSA-82889ab8-32903,/ai-governance-use-cases-for-retail-services-and-software-businesses,INS-0078,hero-media,ai-agency,production-candidate,True,
NSA-d84caf18-11206,/where-ai-and-automation-fit-into-ai-governance,INS-0079,hero-media,ai-agency,production-candidate,True,
NSA-fe3f4eed-10139,/when-should-a-business-invest-in-ai-governance,INS-0080,hero-media,ai-agency,production-candidate,True,
NSA-73490f81-242071,/agentic-ai-for-business-a-practical-guide-for-operations-leaders,INS-0081,hero-media,ai-agency,production-candidate,True,
NSA-a11c703b-27404,/how-to-implement-agentic-ai-for-business-without-disrupting-operations,INS-0082,hero-media,ai-agency,production-candidate,True,
NSA-15ed14e8-40384,/agentic-ai-for-business-implementation-checklist-people-process-technology-and-controls,INS-0083,hero-media,ai-agency,production-candidate,True,
NSA-af8ba57d-37344,/10-agentic-ai-for-business-mistakes-that-increase-cost-risk-and-rework,INS-0084,hero-media,ai-agency,production-candidate,True,
NSA-7d9890a5-779929,/how-to-measure-the-roi-of-agentic-ai-for-business,INS-0085,hero-media,ai-agency,production-candidate,True,
NSA-52508793-603276,/agentic-ai-for-business-in-house-team-vs-managed-service,INS-0086,hero-media,ai-agency,production-candidate,True,
NSA-4cd87063-309236,/agentic-ai-for-business-roadmap-from-assessment-to-continuous-improvement,INS-0087,hero-media,ai-agency,production-candidate,True,
NSA-239c69c9-336241,/agentic-ai-for-business-use-cases-for-retail-services-and-software-businesses,INS-0088,hero-media,ai-agency,production-candidate,True,
NSA-ca081088-580035,/where-ai-and-automation-fit-into-agentic-ai-for-business,INS-0089,hero-media,ai-agency,production-candidate,True,
NSA-3d12bc9d-1355,/when-should-a-business-invest-in-agentic-ai-for-business,INS-0090,icon-illustration,ai-agency,production-candidate,True,
NSA-3f1bdb5c-1347,/rpa-modernization-a-practical-guide-for-operations-leaders,INS-0091,icon-illustration,ai-agency,production-candidate,True,
NSA-eca9b50f-779470,/how-to-implement-rpa-modernization-without-disrupting-operations,INS-0092,hero-media,ai-agency,production-candidate,True,
NSA-2fa165d4-5879,/rpa-modernization-implementation-checklist-people-process-technology-and-controls,INS-0093,hero-media,ai-agency,production-candidate,True,
NSA-fd924707-152176,/10-rpa-modernization-mistakes-that-increase-cost-risk-and-rework,INS-0094,hero-media,ai-agency,production-candidate,True,
NSA-410e7ffd-116927,/how-to-measure-the-roi-of-rpa-modernization,INS-0095,hero-media,ai-agency,production-candidate,True,
NSA-63089d44-36137,/rpa-modernization-in-house-team-vs-managed-service,INS-0096,hero-media,ai-agency,production-candidate,True,
NSA-4343af4f-28745,/rpa-modernization-roadmap-from-assessment-to-continuous-improvement,INS-0097,icon-illustration,ai-agency,production-candidate,True,
NSA-b23a68f8-19486,/rpa-modernization-use-cases-for-retail-services-and-software-businesses,INS-0098,hero-media,ai-agency,production-candidate,True,
NSA-cf9016ed-17938,/where-ai-and-automation-fit-into-rpa-modernization,INS-0099,hero-media,ai-agency,production-candidate,True,
NSA-c9df99d9-677588,/when-should-a-business-invest-in-rpa-modernization,INS-0100,hero-media,ai-agency,production-candidate,True,
NSA-1a6f6a64-6466,/custom-software-development-a-practical-guide-for-technology-leaders,INS-0101,hero-media,ai-agency,production-candidate,True,
NSA-5eded199-268258,/how-to-implement-custom-software-development-without-disrupting-operations,INS-0102,hero-media,ai-agency,production-candidate,True,
NSA-48b4e364-708926,/custom-software-development-implementation-checklist-people-process-technology-and-controls,INS-0103,hero-media,ai-agency,production-candidate,True,
NSA-af4b6ce0-128487,/10-custom-software-development-mistakes-that-increase-cost-risk-and-rework,INS-0104,hero-media,ai-agency,production-candidate,True,
NSA-62fff367-2445931,/how-to-measure-the-roi-of-custom-software-development,INS-0105,hero-media,ai-agency,production-candidate,True,
NSA-ff94fe94-2461640,/custom-software-development-in-house-team-vs-managed-service,INS-0106,hero-media,ai-agency,production-candidate,True,
NSA-609b067a-1424000,/custom-software-development-roadmap-from-assessment-to-continuous-improvement,INS-0107,hero-media,ai-agency,production-candidate,True,
NSA-2eb2c374-5696,/custom-software-development-use-cases-for-growing-businesses-and-complex-operational-environments,INS-0108,icon-illustration,ai-agency,production-candidate,True,
NSA-f4622fda-13529,/where-ai-and-automation-fit-into-custom-software-development,INS-0109,icon-illustration,ai-agency,production-candidate,True,
NSA-485b18fd-11339,/when-should-a-business-invest-in-custom-software-development,INS-0110,icon-illustration,ai-agency,production-candidate,True,
NSA-95193a23-1381263,/custom-software-cost-a-practical-guide-for-technology-leaders,INS-0111,hero-media,ai-agency,production-candidate,True,
NSA-8a6d78ae-855112,/how-to-implement-custom-software-cost-without-disrupting-operations,INS-0112,hero-media,ai-agency,production-candidate,True,
NSA-a986a7ab-1322425,/custom-software-cost-implementation-checklist-people-process-technology-and-controls,INS-0113,hero-media,ai-agency,production-candidate,True,
NSA-a757cdf2-1101619,/10-custom-software-cost-mistakes-that-increase-cost-risk-and-rework,INS-0114,hero-media,ai-agency,production-candidate,True,
NSA-78df0623-1109290,/how-to-measure-the-roi-of-custom-software-cost,INS-0115,hero-media,ai-agency,production-candidate,True,
NSA-9562c9b6-8643,/custom-software-cost-in-house-team-vs-managed-service,INS-0116,hero-media,ai-agency,production-candidate,True,
NSA-8ceda293-1012770,/custom-software-cost-roadmap-from-assessment-to-continuous-improvement,INS-0117,hero-media,ai-agency,production-candidate,True,
NSA-dcb72864-1012391,/custom-software-cost-use-cases-for-growing-businesses-and-complex-operational-environments,INS-0118,hero-media,ai-agency,production-candidate,True,
NSA-784b4b30-864641,/where-ai-and-automation-fit-into-custom-software-cost,INS-0119,hero-media,ai-agency,production-candidate,True,
NSA-90b60e23-667190,/when-should-a-business-invest-in-custom-software-cost,INS-0120,hero-media,ai-agency,production-candidate,True,
NSA-d0ea090f-284342,/software-requirements-a-practical-guide-for-technology-leaders,INS-0121,hero-media,ai-agency,production-candidate,True,
NSA-e35dc7f6-2125020,/how-to-implement-software-requirements-without-disrupting-operations,INS-0122,hero-media,ai-agency,production-candidate,True,
NSA-3faf4777-363877,/software-requirements-implementation-checklist-people-process-technology-and-controls,INS-0123,hero-media,ai-agency,production-candidate,True,
NSA-5474e035-27548,/10-software-requirements-mistakes-that-increase-cost-risk-and-rework,INS-0124,icon-illustration,ai-agency,production-candidate,True,
NSA-40a55d33-18698,/how-to-measure-the-roi-of-software-requirements,INS-0125,icon-illustration,ai-agency,production-candidate,True,
NSA-f046b35e-1379606,/software-requirements-in-house-team-vs-managed-service,INS-0126,hero-media,ai-agency,production-candidate,True,
NSA-780ce22b-1626975,/software-requirements-roadmap-from-assessment-to-continuous-improvement,INS-0127,hero-media,ai-agency,production-candidate,True,
NSA-a7394e38-172724,/software-requirements-use-cases-for-growing-businesses-and-complex-operational-environments,INS-0128,hero-media,ai-agency,production-candidate,True,
NSA-0761c81b-524704,/where-ai-and-automation-fit-into-software-requirements,INS-0129,hero-media,ai-agency,production-candidate,True,
NSA-2d1c07d0-599027,/when-should-a-business-invest-in-software-requirements,INS-0130,hero-media,ai-agency,production-candidate,True,
NSA-b5462ef0-1303494,/mvp-development-a-practical-guide-for-technology-leaders,INS-0131,hero-media,ai-agency,production-candidate,True,
NSA-65626e63-713059,/how-to-implement-mvp-development-without-disrupting-operations,INS-0132,hero-media,ai-agency,production-candidate,True,
NSA-3a39e6b5-357088,/mvp-development-implementation-checklist-people-process-technology-and-controls,INS-0133,hero-media,ai-agency,production-candidate,True,
NSA-06f1a91d-178804,/10-mvp-development-mistakes-that-increase-cost-risk-and-rework,INS-0134,hero-media,ai-agency,production-candidate,True,
NSA-b3ff541d-210318,/how-to-measure-the-roi-of-mvp-development,INS-0135,hero-media,ai-agency,production-candidate,True,
NSA-5852151b-240078,/mvp-development-in-house-team-vs-managed-service,INS-0136,hero-media,ai-agency,production-candidate,True,
NSA-094cc2f2-67665,/mvp-development-roadmap-from-assessment-to-continuous-improvement,INS-0137,hero-media,ai-agency,production-candidate,True,
NSA-3ec47d78-306406,/mvp-development-use-cases-for-growing-businesses-and-complex-operational-environments,INS-0138,hero-media,ai-agency,production-candidate,True,
NSA-d63c7f69-138490,/where-ai-and-automation-fit-into-mvp-development,INS-0139,hero-media,ai-agency,production-candidate,True,
NSA-7e381a73-367498,/when-should-a-business-invest-in-mvp-development,INS-0140,hero-media,ai-agency,production-candidate,True,
NSA-dbce3321-229815,/saas-development-a-practical-guide-for-technology-leaders,INS-0141,hero-media,ai-agency,production-candidate,True,
NSA-ec251084-504499,/how-to-implement-saas-development-without-disrupting-operations,INS-0142,hero-media,ai-agency,production-candidate,True,
NSA-d63a1f6c-244391,/saas-development-implementation-checklist-people-process-technology-and-controls,INS-0143,hero-media,ai-agency,production-candidate,True,
NSA-17c7c47c-224409,/10-saas-development-mistakes-that-increase-cost-risk-and-rework,INS-0144,hero-media,ai-agency,production-candidate,True,
NSA-388b045a-2025118,/how-to-measure-the-roi-of-saas-development,INS-0145,hero-media,ai-agency,production-candidate,True,
NSA-7633e8bd-205653,/saas-development-in-house-team-vs-managed-service,INS-0146,hero-media,ai-agency,production-candidate,True,
NSA-0adf7cbe-751692,/saas-development-roadmap-from-assessment-to-continuous-improvement,INS-0147,hero-media,ai-agency,production-candidate,True,
NSA-7430a34f-704949,/saas-development-use-cases-for-growing-businesses-and-complex-operational-environments,INS-0148,hero-media,ai-agency,production-candidate,True,
NSA-ca22f1ff-312664,/where-ai-and-automation-fit-into-saas-development,INS-0149,hero-media,ai-agency,production-candidate,True,
NSA-e1b35623-467027,/when-should-a-business-invest-in-saas-development,INS-0150,hero-media,ai-agency,production-candidate,True,
NSA-3e2fcf44-457642,/legacy-software-modernization-a-practical-guide-for-technology-leaders,INS-0151,hero-media,ai-agency,production-candidate,True,
NSA-08408ce2-474013,/how-to-implement-legacy-software-modernization-without-disrupting-operations,INS-0152,hero-media,ai-agency,production-candidate,True,
NSA-5e083da9-421626,/legacy-software-modernization-implementation-checklist-people-process-technology-and-controls,INS-0153,hero-media,ai-agency,production-candidate,True,
NSA-fa982ce8-657821,/10-legacy-software-modernization-mistakes-that-increase-cost-risk-and-rework,INS-0154,hero-media,ai-agency,production-candidate,True,
NSA-0a47b2f7-1225903,/how-to-measure-the-roi-of-legacy-software-modernization,INS-0155,hero-media,ai-agency,production-candidate,True,
NSA-0966a027-1045924,/legacy-software-modernization-in-house-team-vs-managed-service,INS-0156,hero-media,ai-agency,production-candidate,True,
NSA-757ef783-1102464,/legacy-software-modernization-roadmap-from-assessment-to-continuous-improvement,INS-0157,hero-media,ai-agency,production-candidate,True,
NSA-26969965-622245,/legacy-software-modernization-use-cases-for-growing-businesses-and-complex-operational-environments,INS-0158,hero-media,ai-agency,production-candidate,True,
NSA-7c3fc6f4-580564,/where-ai-and-automation-fit-into-legacy-software-modernization,INS-0159,hero-media,ai-agency,production-candidate,True,
NSA-59fbfde3-772121,/when-should-a-business-invest-in-legacy-software-modernization,INS-0160,hero-media,ai-agency,production-candidate,True,
